Zkm	TOTALNumden	N2Numdencm3	CH4Ndencm3	ArNdencm3	rhogcm3	Pergscm3	TempK	Fc
142.0	9.09769E+16	8.64280E+16	4.54886E+15	2.72931E+12	4.13800E-06	1.79578E+03	143.04	1.00001
140.0	9.67326E+16	9.18966E+16	4.83664E+15	2.90198E+12	4.39980E-06	1.89966E+03	142.31	1.00001
138.0	1.02498E+17	9.73731E+16	5.12489E+15	3.07494E+12	4.66201E-06	2.01007E+03	142.11	1.00001
136.0	1.09020E+17	1.03569E+17	5.45099E+15	3.27060E+12	4.95866E-06	2.12748E+03	141.41	1.00001
134.0	1.15561E+17	1.09783E+17	5.77805E+15	3.46683E+12	5.25617E-06	2.25231E+03	141.24	1.00002
132.0	1.22855E+17	1.16711E+17	6.14271E+15	3.68565E+12	5.58790E-06	2.38504E+03	140.68	1.00002
130.0	1.30171E+17	1.23663E+17	6.50856E+15	3.90513E+12	5.92071E-06	2.52610E+03	140.63	1.00002
128.0	1.39007E+17	1.32057E+17	6.95034E+15	4.17021E+12	6.32259E-06	2.67637E+03	139.52	1.00002
126.0	1.48630E+17	1.41199E+17	7.43149E+15	4.45890E+12	6.76029E-06	2.83720E+03	138.33	1.00002
124.0	1.58275E+17	1.50361E+17	7.91371E+15	4.74825E+12	7.19894E-06	3.00906E+03	137.77	1.00002
122.0	1.69467E+17	1.60994E+17	8.47338E+15	5.08401E+12	7.70807E-06	3.19285E+03	136.53	1.00002
120.0	1.80697E+17	1.71662E+17	9.03486E+15	5.42091E+12	8.21884E-06	3.38952E+03	135.93	1.00003
118.0	1.92711E+17	1.83076E+17	9.63554E+15	5.78133E+12	8.76528E-06	3.59954E+03	135.35	1.00003
116.0	2.05534E+17	1.95258E+17	1.02767E+16	6.16602E+12	9.34851E-06	3.82385E+03	134.82	1.00003
114.0	2.19152E+17	2.08194E+17	1.09576E+16	6.57456E+12	9.96787E-06	4.06343E+03	134.36	1.00003
112.0	2.34353E+17	2.22636E+17	1.17177E+16	7.03059E+12	1.06594E-05	4.31963E+03	133.57	1.00003
110.0	2.50362E+17	2.37843E+17	1.25181E+16	7.51086E+12	1.13874E-05	4.59389E+03	132.97	1.00004
108.0	2.67191E+17	2.53832E+17	1.33596E+16	8.01573E+12	1.21530E-05	4.88716E+03	132.55	1.00004
106.0	2.85614E+17	2.71334E+17	1.42807E+16	8.56842E+12	1.29909E-05	5.20087E+03	131.96	1.00004
104.0	3.07233E+17	2.91871E+17	1.53616E+16	9.21699E+12	1.39742E-05	5.53778E+03	130.62	1.00005
102.0	3.29709E+17	3.13223E+17	1.64854E+16	9.89127E+12	1.49965E-05	5.90029E+03	129.68	1.00005
100.0	3.54606E+17	3.36876E+17	1.77303E+16	1.06382E+13	1.61289E-05	6.29031E+03	128.55	1.00006
98.0	3.81169E+17	3.62111E+17	1.90585E+16	1.14351E+13	1.73371E-05	6.71034E+03	127.58	1.00006
96.0	4.10183E+17	3.89673E+17	2.05091E+16	1.23055E+13	1.86567E-05	7.16274E+03	126.55	1.00007
94.0	4.43274E+17	4.21110E+17	2.21637E+16	1.32982E+13	2.01619E-05	7.65134E+03	125.09	1.00007
92.0	4.80471E+17	4.56448E+17	2.40236E+16	1.44141E+13	2.18538E-05	8.18094E+03	123.39	1.00008
90.0	5.18595E+17	4.92665E+17	2.59297E+16	1.55579E+13	2.35878E-05	8.75467E+03	122.34	1.00009
88.0	5.57594E+17	5.29714E+17	2.78797E+16	1.67278E+13	2.53616E-05	9.37364E+03	121.83	1.00010
86.0	6.06482E+17	5.76158E+17	3.03241E+16	1.81945E+13	2.75852E-05	1.00440E+04	120.02	1.00011
84.0	6.64563E+17	6.31335E+17	3.32282E+16	1.99369E+13	3.02270E-05	1.07770E+04	117.53	1.00012
82.0	7.31866E+17	6.95272E+17	3.65933E+16	2.19560E+13	3.32881E-05	1.15835E+04	114.71	1.00014
80.0	8.06104E+17	7.65800E+17	4.03052E+16	2.41831E+13	3.66649E-05	1.24730E+04	112.14	1.00016
78.0	8.93133E+17	8.48478E+17	4.46568E+16	2.67940E+13	4.06234E-05	1.34571E+04	109.20	1.00019
76.0	9.89792E+17	9.40302E+17	4.94896E+16	2.96938E+13	4.50197E-05	1.45494E+04	106.54	1.00022
74.0	1.10027E+18	1.04525E+18	5.50135E+16	3.30081E+13	5.00447E-05	1.57634E+04	103.84	1.00025
72.0	1.24790E+18	1.18551E+18	6.23952E+16	3.74370E+13	5.67597E-05	1.71290E+04	99.50	1.00031
70.0	1.44397E+18	1.37178E+18	7.21988E+16	4.33191E+13	6.56778E-05	1.86961E+04	93.86	1.00040
68.0	1.67824E+18	1.59433E+18	8.39121E+16	5.03472E+13	7.63332E-05	2.05160E+04	88.63	1.00051
66.0	2.00405E+18	1.90385E+18	1.00202E+17	6.01215E+13	9.11525E-05	2.26643E+04	82.01	1.00070
64.0	2.41787E+18	2.29698E+18	1.20893E+17	7.25361E+13	1.09974E-04	2.52470E+04	75.74	1.00097
62.0	2.88448E+18	2.74025E+18	1.44224E+17	8.65344E+13	1.31197E-04	2.83498E+04	71.31	1.00128
60.0	3.38485E+18	3.21561E+18	1.69242E+17	1.01546E+14	1.53957E-04	3.20256E+04	68.67	1.00161
58.0	3.95134E+18	3.75377E+18	1.97567E+17	1.18540E+14	1.79723E-04	3.63340E+04	66.76	1.00198
56.0	4.57588E+18	4.34709E+18	2.28794E+17	1.37276E+14	2.08129E-04	4.13508E+04	65.64	1.00236
54.0	5.25514E+18	4.99239E+18	2.62757E+17	1.57654E+14	2.39026E-04	4.71453E+04	65.19	1.00274
52.0	6.01051E+18	5.70999E+18	3.00526E+17	1.80315E+14	2.73382E-04	5.37959E+04	65.06	1.00315
50.0	6.86106E+18	6.51801E+18	3.43053E+17	2.05832E+14	3.12069E-04	6.14070E+04	65.09	1.00360
48.0	7.81572E+18	7.42494E+18	3.90786E+17	2.34472E+14	3.55490E-04	7.00996E+04	65.26	1.00408
46.0	8.89702E+18	8.45216E+18	4.44851E+17	2.66911E+14	4.04672E-04	8.00132E+04	65.47	1.00462
44.0	1.01119E+19	9.60630E+18	5.05596E+17	3.03357E+14	4.59930E-04	9.13059E+04	65.77	1.00522
42.0	1.15106E+19	1.09350E+19	5.75526E+17	3.45318E+14	5.23545E-04	1.04170E+05	65.97	1.00592
40.0	1.30576E+19	1.24047E+19	6.52878E+17	3.91728E+14	5.93910E-04	1.18812E+05	66.37	1.00665
38.0	1.47829E+19	1.40437E+19	7.39144E+17	4.43487E+14	6.72384E-04	1.35430E+05	66.88	1.00744
36.0	1.67942E+19	1.59545E+19	8.39712E+17	5.03826E+14	7.63869E-04	1.54306E+05	67.14	1.00841
34.0	1.90847E+19	1.81304E+19	9.54228E+17	5.72541E+14	8.68046E-04	1.75785E+05	67.38	1.00951
32.0	2.16362E+19	2.05543E+19	1.08181E+18	6.49086E+14	9.84100E-04	2.00205E+05	67.77	1.01070
30.0	2.44677E+19	2.32443E+19	1.22339E+18	7.34031E+14	1.11289E-03	2.27892E+05	68.30	1.01196
