RANK 0
N Nodes 40
Namespace(algo='dqn', batch_size=256, checkpoint_freq=1000, continuetraining=0, data_dir='data/', discount=0.95, ent_coef=0.1, env='Aerobraking', eps_decay=5000, initialrank=0, load='', log='log.txt', lr=0.0001, niter=1000000, nominal=0, nproc=1, ntest=100, output='NN', parallel_env=1, phase='Main', print_freq=200, replay_size=50000, replaycreation=0, save_dir='breakout/', sim=0, target_update=10000, test=0, train_freq=5, train_start=10000, value_coef=0.5)
running on device cuda
-- Start Training --
iter    181 |rank    14 |loss    nan |n_ep    34 |ep_len    6.0 |ep_rew  -4.48 |num_manevuers    5.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    30 |no_reached_goal     0 | distance_goal 5952.12 |days_mission   1.16  |deltav   0.90 |time 00:112 rem 172:2402 |heatrate [0.109, 0.104, 0.067, 0.051, 0.079, 0.048] |actions [6, 11, 9, 8, 7, 5] |ra [10036.144, 9996.573, 9953.863, 9925.148, 9903.975, 9871.262, 9852.125] |hp [110.435, 113.487, 114.693, 115.273, 115.56, 115.214] |omega [66.57, 66.41, 66.26, 66.11, 65.96, 65.81] |corridor maneuver     0
iter    182 |rank    22 |loss    nan |n_ep    35 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    31 |no_reached_goal     0 | distance_goal 6122.18 |days_mission   0.39  |deltav   0.20 |time 00:112 rem 171:2763 |heatrate [0.029, 0.012] |actions [6, 9] |ra [10036.8, 10027.457, 10022.176] |hp [113.869, 115.126] |omega [85.81, 85.66] |corridor maneuver     0
iter    186 |rank     4 |loss    nan |n_ep    36 |ep_len    3.0 |ep_rew  -5.11 |num_manevuers    2.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact     5 | num_outdragpassage    31 |no_reached_goal     0 | distance_goal 5934.48 |days_mission   0.58  |deltav   1.10 |time 00:113 rem 169:671 |heatrate [0.127, 0.145, 0.342] |actions [6, 4, 0] |ra [10036.443, 9987.467, 9931.615, 9834.48] |hp [110.527, 109.861, 103.614] |omega [61.59, 61.45, 61.3] |corridor maneuver     0
iter    189 |rank    11 |loss    nan |n_ep    37 |ep_len    4.0 |ep_rew  -4.35 |num_manevuers    3.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     5 | num_outdragpassage    32 |no_reached_goal     0 | distance_goal 6050.22 |days_mission   0.78  |deltav   1.80 |time 00:114 rem 168:2324 |heatrate [0.068, 0.095, 0.061, 0.027] |actions [6, 1, 12, 10] |ra [10038.57, 10016.495, 9978.999, 9957.898, 9950.22] |hp [112.271, 109.118, 115.239, 117.048] |omega [67.02, 66.86, 66.71, 66.56] |corridor maneuver     0
iter    195 |rank     7 |loss    nan |n_ep    38 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     5 | num_outdragpassage    33 |no_reached_goal     0 | distance_goal 6097.59 |days_mission   0.39  |deltav   0.05 |time 00:117 rem 166:2413 |heatrate [0.062, 0.044] |actions [6, 5] |ra [10037.06, 10013.434, 9997.595] |hp [113.518, 113.189] |omega [76.35, 76.21] |corridor maneuver     0
iter    196 |rank     2 |loss    nan |n_ep    39 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     5 | num_outdragpassage    34 |no_reached_goal     0 | distance_goal 6110.48 |days_mission   0.39  |deltav   0.20 |time 00:117 rem 166:162 |heatrate [0.048, 0.027] |actions [6, 9] |ra [10035.516, 10019.289, 10010.483] |hp [112.631, 113.879] |omega [79.47, 79.33] |corridor maneuver     0
iter    200 |rank    24 |loss    nan |n_ep    40 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     5 | num_outdragpassage    35 |no_reached_goal     0 | distance_goal 6104.70 |days_mission   0.59  |deltav   1.10 |time 00:119 rem 165:1836 |heatrate [0.013, 0.038, 0.028] |actions [6, 0, 8] |ra [10035.505, 10030.237, 10015.861, 10004.699] |hp [115.039, 108.695, 109.319] |omega [86.34, 86.18, 86.03] |corridor maneuver     1
iter    201 |rank    37 |loss    nan |n_ep    41 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     5 | num_outdragpassage    36 |no_reached_goal     0 | distance_goal 6094.03 |days_mission   0.39  |deltav   0.50 |time 00:120 rem 166:395 |heatrate [0.091, 0.047] |actions [6, 11] |ra [10035.961, 10006.201, 9994.034] |hp [111.986, 115.059] |omega [67.77, 67.62] |corridor maneuver     0
iter    202 |rank    39 |loss    nan |n_ep    42 |ep_len    4.0 |ep_rew  -6.31 |num_manevuers    3.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact     6 | num_outdragpassage    36 |no_reached_goal     0 | distance_goal 5780.59 |days_mission   0.77  |deltav   2.10 |time 00:120 rem 165:1585 |heatrate [0.076, 0.114, 0.212, 0.6] |actions [6, 4, 0, 0] |ra [10038.519, 10015.77, 9981.288, 9914.931, 9680.588] |hp [112.938, 112.292, 105.977, 99.684] |omega [71.74, 71.6, 71.46, 71.32] |corridor maneuver     0
iter    211 |rank     9 |loss    nan |n_ep    43 |ep_len    3.0 |ep_rew  -6.20 |num_manevuers    2.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact     7 | num_outdragpassage    36 |no_reached_goal     0 | distance_goal 5785.56 |days_mission   0.78  |deltav   3.00 |time 00:125 rem 164:3318 |heatrate [0.024, 0.076, 0.247, 0.661] |actions [6, 0, 0, 0] |ra [10040.02, 10031.337, 10003.907, 9929.57, 9685.56] |hp [113.782, 107.431, 101.098, 94.785] |omega [81.49, 81.35, 81.22, 81.08] |corridor maneuver     1
iter    212 |rank    23 |loss    nan |n_ep    44 |ep_len    5.0 |ep_rew  -4.42 |num_manevuers    3.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     7 | num_outdragpassage    37 |no_reached_goal     0 | distance_goal 5972.10 |days_mission   1.16  |deltav   3.20 |time 00:125 rem 164:1736 |heatrate [0.017, 0.044, 0.156, 0.108, 0.145, 0.032] |actions [6, 0, 0, 9, 6, 12] |ra [10039.725, 10033.296, 10015.132, 9965.428, 9929.148, 9884.393, 9872.1] |hp [113.431, 107.085, 100.754, 101.994, 101.98, 108.218] |omega [85.49, 85.35, 85.21, 85.07, 84.93, 84.79] |corridor maneuver     1
iter    221 |rank    34 |loss    nan |n_ep    45 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     7 | num_outdragpassage    38 |no_reached_goal     0 | distance_goal 6124.03 |days_mission   0.39  |deltav   0.30 |time 00:132 rem 166:319 |heatrate [0.028, 0.021] |actions [6, 10] |ra [10040.498, 10031.655, 10024.033] |hp [115.065, 116.945] |omega [81.68, 81.54] |corridor maneuver     0
iter    226 |rank    20 |loss    nan |n_ep    46 |ep_len    7.0 |ep_rew  -5.59 |num_manevuers    6.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact     8 | num_outdragpassage    38 |no_reached_goal     0 | distance_goal 5670.12 |days_mission   1.34  |deltav   1.95 |time 00:133 rem 164:245 |heatrate [0.15, 0.17, 0.156, 0.167, 0.155, 0.248, 0.347] |actions [6, 1, 10, 5, 5, 5, 0] |ra [10038.745, 9987.315, 9938.588, 9878.5, 9820.14, 9774.456, 9697.273, 9570.122] |hp [111.904, 108.741, 110.544, 110.189, 109.835, 109.482, 103.297] |omega [66.22, 66.07, 65.92, 65.77, 65.62, 65.47, 65.32] |corridor maneuver     0
iter    227 |rank    38 |loss    nan |n_ep    47 |ep_len    2.0 |ep_rew  -5.00 |num_manevuers    1.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact     9 | num_outdragpassage    38 |no_reached_goal     0 | distance_goal 5952.30 |days_mission   0.39  |deltav   0.30 |time 00:134 rem 164:1205 |heatrate [0.234, 0.312] |actions [6, 2] |ra [10040.017, 9955.347, 9852.295] |hp [109.13, 107.223] |omega [62.75, 62.6] |corridor maneuver     0
iter    233 |rank    18 |loss    nan |n_ep    48 |ep_len    4.0 |ep_rew  -4.22 |num_manevuers    3.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact    10 | num_outdragpassage    38 |no_reached_goal     0 | distance_goal 5961.08 |days_mission   0.78  |deltav   1.25 |time 00:137 rem 163:3468 |heatrate [0.076, 0.076, 0.126, 0.253] |actions [6, 7, 3, 0] |ra [10035.729, 10010.823, 9985.306, 9942.504, 9861.083] |hp [111.31, 111.601, 110.313, 104.022] |omega [70.01, 69.86, 69.72, 69.58] |corridor maneuver     0
iter    234 |rank    33 |loss    nan |n_ep    49 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact    10 | num_outdragpassage    39 |no_reached_goal     0 | distance_goal 6118.08 |days_mission   0.39  |deltav   0.30 |time 00:137 rem 163:1339 |heatrate [0.03, 0.028] |actions [6, 10] |ra [10039.461, 10029.226, 10018.08] |hp [114.655, 116.533] |omega [81.55, 81.41] |corridor maneuver     0
